season,PLAYER_ID,Jersey
2019,201143,0
2020,201143,0
2012,201144,0
2013,201144,0
2014,201144,0
2015,201144,0
2016,201144,0
2017,201144,0
2018,201144,0
2019,201144,0
2020,201144,0
2012,201145,0
2013,201145,0
2014,201145,0
2015,201145,0
2016,201145,0
2017,201145,0
2018,201145,0
2019,201145,0
2020,201145,0
2016,201146,0
2012,201147,0
2013,201147,0
2014,201147,0
2015,201147,0
2016,201147,0
2017,201147,0
2018,201147,0
2012,201148,0
2013,201148,0
2014,201148,0
2015,201148,0
2016,201148,0
2017,201148,0
2012,201149,0
2013,201149,0
2014,201149,0
2015,201149,0
2016,201149,0
2017,201149,0
2018,201149,0
2020,201149,0
2012,201150,0
2013,201150,0
2014,201150,0
2015,201150,0
2016,201150,0
2012,201152,0
2013,201152,0
2014,201152,0
2015,201152,0
2016,201152,0
2017,201152,0
2018,201152,0
2019,201152,0
2020,201152,0
2012,201155,0
2013,201155,0
2014,201155,0
2015,201155,0
2016,201155,0
2012,201156,0
2013,201156,0
2014,201156,0
2015,201156,0
2016,201156,0
2017,201156,0
2018,201156,0
2012,201158,0
2013,201158,0
2014,201158,0
2015,201158,0
2016,201158,0
2017,201158,0
2018,201158,0
2019,201158,0
2012,201160,0
2013,201160,0
2014,201160,0
2015,201160,0
2016,201160,0
2017,201160,0
2018,201160,0
2012,201161,0
2012,201162,0
2013,201162,0
2014,201162,0
2015,201162,0
2016,201162,0
2017,201162,0
2018,201162,0
2019,201162,0
2020,201162,0
2012,201163,0
2013,201163,0
2014,201163,0
2015,201163,0
2016,201163,0
2017,201163,0
2018,201163,0
2019,201163,0
2012,201166,0
2013,201166,0
2014,201166,0
2015,201166,0
2016,201166,0
2017,201166,0
2012,201167,0
2013,201167,0
2014,201167,0
2015,201167,0
2016,201167,0
2017,201167,0
2012,201168,0
2013,201168,0
2014,201168,0
2015,201168,0
2012,201169,0
2012,201171,0
2013,201171,0
2014,201171,0
2015,201171,0
2014,201173,0
2012,201175,0
2013,201175,0
2014,201175,0
2012,201177,0
2013,201177,0
2014,201177,0
2015,201177,0
2016,201177,0
2017,201177,0
2012,201178,0
2014,201178,0
2012,201187,0
2013,201187,0
2012,201188,0
2013,201188,0
2014,201188,0
2015,201188,0
2016,201188,0
2017,201188,0
2018,201188,0
2019,201188,0
2020,201188,0
2012,201189,0
2013,201189,0
2012,201196,0
2013,201196,0
2014,201196,0
2015,201196,0
2016,201196,0
2017,201196,0
2012,201202,0
2013,201202,0
2014,201202,0
2015,201202,0
2016,201202,0
2017,201202,0
2012,201207,0
2012,201228,0
2013,201228,0
2014,201228,0
2015,201228,0
2016,201228,0
2012,201229,0
2013,201229,0
2014,201229,0
2015,201229,0
2016,201229,0
2017,201229,0
2018,201229,0
2019,201229,0
2014,201234,0
2012,201274,0
2014,201274,0
2013,201286,0
2016,201286,0
2012,201291,0
2012,201336,0
2013,201351,0
2012,201563,0
2013,201563,0
2016,201563,0
2017,201563,0
2018,201563,0
2012,201564,0
2013,201564,0
2014,201564,0
2015,201564,0
2013,201565,1
2014,201565,1
2015,201565,1
2016,201565,1
2017,201565,1
2018,201565,0
2019,201565,0
2020,201565,0
2012,201566,0
2013,201566,1
2014,201566,1
2015,201566,1
2016,201566,1
2017,201566,1
2018,201566,1
2019,201566,1
2020,201566,1
2012,201567,0
2013,201567,0
2014,201567,0
2015,201567,0
2016,201567,0
2017,201567,0
2018,201567,0
2019,201567,0
2020,201567,0
2012,201568,0
2014,201568,0
2015,201568,0
2016,201568,0
2017,201568,0
2018,201568,0
2019,201568,0
2020,201568,0
2012,201569,0
2013,201569,0
2014,201569,0
2015,201569,0
2016,201569,0
2017,201569,0
2018,201569,0
2019,201569,0
2020,201569,0
2012,201571,0
2013,201571,0
2014,201571,0
2015,201571,0
2016,201571,0
2017,201571,0
2018,201571,0
2019,201571,0
2020,201571,0
2012,201572,0
2013,201572,0
2014,201572,0
2015,201572,0
2016,201572,0
2017,201572,0
2018,201572,0
2019,201572,0
2020,201572,0
2012,201573,0
2013,201573,0
2014,201573,0
2015,201573,0
2016,201573,0
2017,201573,0
2018,201573,0
2012,201574,0
2013,201574,0
2014,201574,0
2015,201574,0
2012,201575,0
2013,201575,0
2014,201575,0
2015,201575,0
2016,201575,0
2017,201575,0
2012,201576,0
2013,201576,0
2012,201577,0
2013,201577,0
2014,201577,0
2015,201577,0
2016,201577,0
2017,201577,0
2018,201577,0
2019,201577,0
2020,201577,0
2012,201578,0
2013,201578,0
2014,201578,0
2015,201578,0
2016,201578,0
2017,201578,0
2012,201579,0
2013,201579,0
2014,201579,0
2015,201579,0
2016,201579,0
2012,201580,0
2013,201580,0
2014,201580,0
2015,201580,0
2016,201580,0
2017,201580,0
2018,201580,0
2019,201580,0
2020,201580,0
2012,201581,0
2013,201581,0
2014,201581,0
2015,201581,0
2013,201582,0
